epoch,train_loss,validation_MAE,validation_RMSE,validation_sMAPE,elapsed_seconds
1,0.2108262915002263,160.81960698908026,253.86505201734664,50.33633071387312,0.23650700398138724
2,0.10058228007477263,148.55809377034504,269.2760060137365,43.32489225361376,0.28826696099713445
3,0.08694672649321349,137.59202265883937,241.23032822668117,42.01995462931849,1.060734598984709
4,0.08364388524838116,134.72176083651456,235.27591060241045,41.347182616094514,3.0642877359932754
5,0.0865908303986425,133.9251479177764,234.46476406904372,41.15287076217376,5.075105876981979
6,0.08497432769154725,134.57117166230174,240.15066313439488,40.35137772741061,7.078230569983134
7,0.08147367656878803,133.20954534357244,234.5177773170012,40.54636569581328,9.090164809982525
8,0.07942734666816566,123.8051195086855,220.88218474406597,39.47611432558337,11.09729426598642
9,0.0827772184882475,137.69583485921223,246.0081627513399,41.37881292486987,13.10056923198863
10,0.07357072182323622,132.8047758622603,234.5521324222278,40.30604998308353,15.106615684984718
11,0.07575907363839772,133.3823670358369,237.08083503410776,40.04031347001098,17.115045683982316
12,0.07117117771311947,128.49720921371923,223.72135110595616,40.31941555968055,19.121046730986563
13,0.07242218988097232,121.25323324492483,215.75519391371523,38.247110095952124,21.133588785975007
14,0.07450842023219752,131.0817392060251,229.2779960762627,40.61962591359044,23.14222706897999
15,0.07011739520922951,129.6548218235825,224.57899899960458,40.4645571194925,25.157919208984822
16,0.0743713696365771,124.02844427860144,219.63885162286735,39.49532933598262,27.16921544499928
17,0.06869884799032108,131.15101396965258,229.49402752740423,39.76914540245608,29.181206416978966
18,0.07070666988906653,129.7609090169271,228.57556067512274,39.52879037994479,31.19248980897828
19,0.065347319063933,124.66126810709635,221.6314617023019,39.10046954867551,33.20570814597886
20,0.06481608594565288,122.62594900420218,216.13838833394428,38.728213391261626,35.217859339987626
21,0.06940966042811456,118.14907342159387,212.25297893004736,38.553617080425255,37.2291163939808
22,0.069364492174076,127.13672351259174,223.0784332508784,39.13991258586253,39.23770697999862
23,0.06766808891425961,117.28865633877841,212.88905561969497,38.31857765828469,41.24424217897467
