run_label,split,model,rows,MAE,RMSE,sMAPE
count_only,test,random_forest_pooled,300,106.6831947501034,190.4295586847528,24.780037561629083
count_only,test,hist_gradient_boosting_pooled,300,107.29160298195886,180.7323631758371,25.658921582943712
count_only,test,ridge_regression_pooled,300,117.1636682972414,207.9286847741505,27.448187517881344
count_only,test,linear_regression_pooled,300,120.78536893217358,208.1320035204438,29.222381404380663
count_only,test,baseline_last_value,300,132.2,260.0800389623676,30.433236474923834
count_only,validation,random_forest_pooled,330,124.68710929472682,228.40536008969957,38.02757260596759
count_only,validation,hist_gradient_boosting_pooled,330,124.135462584834,230.3348011027391,38.2764666752985
count_only,validation,linear_regression_pooled,330,126.36984099132854,227.8958645512222,40.0200346837496
count_only,validation,ridge_regression_pooled,330,130.62016133691375,226.08979817783623,41.445292845908746
count_only,validation,baseline_last_value,330,147.64848484848486,278.857680655574,44.9642694253447
count_plus_sentiment,test,random_forest_pooled,300,108.30749428358062,193.4251327677553,25.056122005859493
count_plus_sentiment,test,hist_gradient_boosting_pooled,300,106.02342039758459,177.1962688154291,25.426823436768505
count_plus_sentiment,test,ridge_regression_pooled,300,121.87703240185724,209.6039190962972,29.936802675931922
count_plus_sentiment,test,baseline_last_value,300,132.2,260.0800389623676,30.433236474923834
count_plus_sentiment,test,linear_regression_pooled,300,123.75364992152535,209.0977386690507,32.01656526245794
count_plus_sentiment,validation,hist_gradient_boosting_pooled,330,123.59380536539538,229.0009802476971,38.38197545569021
count_plus_sentiment,validation,random_forest_pooled,330,131.14599015610347,238.04635311787703,39.13536351217934
count_plus_sentiment,validation,linear_regression_pooled,330,131.7188065744031,229.95894410277052,43.556586513689595
count_plus_sentiment,validation,ridge_regression_pooled,330,135.7137928874997,228.4904711456828,44.67386259006217
count_plus_sentiment,validation,baseline_last_value,330,147.64848484848486,278.857680655574,44.9642694253447
