split,baseline,rows,MAE,RMSE,sMAPE
test,baseline_last_value,300,132.2,260.0800389623676,30.433236474923834
test,baseline_lag_7,300,139.73333333333332,284.2479316840611,36.73871419412506
test,baseline_rolling_mean_7,300,149.95476190476188,255.16348274228048,35.35917293196823
test,baseline_rolling_mean_3,300,173.1611111111111,294.53075862764786,41.10079513926342
validation,baseline_last_value,330,147.64848484848486,278.857680655574,44.9642694253447
validation,baseline_rolling_mean_7,330,150.23852813852815,257.543887740622,45.49147196362161
validation,baseline_rolling_mean_3,330,185.459595959596,296.2555538697177,55.73483469487755
validation,baseline_lag_7,330,193.53333333333333,363.7085496533029,52.08898605024752
