split,tag_type,model,rows,MAE,RMSE,sMAPE
test,cashtag,ray_train_mlp,150,132.19631052652994,199.89784064884188,31.857043253499256
test,hashtag,ray_train_mlp,150,95.2198406982422,213.90984117979335,26.825393598477053
validation,cashtag,ray_train_mlp,165,167.12107738148083,271.95800028572836,43.400315070703556
validation,hashtag,ray_train_mlp,165,104.23777373342803,195.50568611343468,39.98588135828686
